Aqi_val,created
85,2020-03-18T11:00:48.605Z
73,2020-03-18T12:00:48.614Z
87,2020-03-18T13:02:56.320Z
112,2020-03-18T14:00:56.848Z
106,2020-03-18T15:00:56.450Z
122,2020-03-18T16:00:29.407Z
126,2020-03-18T17:02:37.940Z
122,2020-03-18T18:00:42.667Z
124,2020-03-18T19:00:41.353Z
118,2020-03-18T20:00:41.363Z
115,2020-03-18T21:00:41.468Z
107,2020-03-18T22:00:43.340Z
108,2020-03-18T23:00:41.520Z
108,2020-03-19T00:00:46.184Z
128,2020-03-19T01:00:41.562Z
102,2020-03-19T02:00:41.569Z
102,2020-03-19T03:00:41.584Z
80,2020-03-19T04:00:41.656Z
71,2020-03-19T05:00:31.633Z
86,2020-03-19T06:00:31.648Z
106,2020-03-19T07:00:31.656Z
129,2020-03-19T08:00:31.688Z
131,2020-03-19T09:00:31.700Z
101,2020-03-19T10:01:54.374Z
83,2020-03-19T11:01:54.341Z
74,2020-03-19T12:01:54.415Z
74,2020-03-19T13:00:06.574Z
76,2020-03-19T14:00:06.575Z
78,2020-03-19T15:00:13.019Z
82,2020-03-19T16:00:06.637Z
85,2020-03-19T17:00:16.350Z
88,2020-03-19T18:00:16.369Z
93,2020-03-19T19:00:16.405Z
92,2020-03-19T20:00:15.484Z
94,2020-03-19T21:00:16.183Z
86,2020-03-19T22:00:15.579Z
86,2020-03-19T23:00:15.672Z
82,2020-03-20T00:00:15.647Z
80,2020-03-20T01:00:15.653Z
80,2020-03-20T02:00:15.783Z
82,2020-03-20T03:00:15.704Z
82,2020-03-20T04:00:15.756Z
81,2020-03-20T05:00:16.287Z
88,2020-03-20T06:00:15.809Z
99,2020-03-20T07:02:03.397Z
98,2020-03-20T08:00:03.498Z
91,2020-03-20T09:00:03.404Z
88,2020-03-20T10:00:03.491Z
87,2020-03-20T11:00:03.489Z
83,2020-03-20T12:00:03.512Z
81,2020-03-20T13:00:03.538Z
76,2020-03-20T14:00:03.573Z
89,2020-03-20T15:00:03.703Z
109,2020-03-20T16:00:03.657Z
112,2020-03-20T17:00:03.672Z
116,2020-03-20T18:00:03.689Z
110,2020-03-20T19:01:57.913Z
117,2020-03-20T20:01:57.973Z
116,2020-03-20T21:01:57.999Z
107,2020-03-20T22:01:58.045Z
104,2020-03-20T23:01:58.092Z
110,2020-03-21T00:01:58.050Z
99,2020-03-21T01:01:58.071Z
92,2020-03-21T02:01:58.105Z
92,2020-03-21T03:01:58.144Z
91,2020-03-21T04:01:58.206Z
90,2020-03-21T05:01:58.216Z
92,2020-03-21T06:01:58.221Z
93,2020-03-21T07:01:58.243Z
105,2020-03-21T08:01:58.248Z
108,2020-03-21T09:01:58.294Z
124,2020-03-21T10:01:58.321Z
98,2020-03-21T11:01:58.372Z
104,2020-03-21T12:01:59.668Z
102,2020-03-21T13:01:58.939Z
97,2020-03-21T14:01:58.467Z
100,2020-03-21T15:01:58.580Z
94,2020-03-21T16:01:58.547Z
95,2020-03-21T17:01:58.591Z
104,2020-03-21T18:01:58.575Z
94,2020-03-21T19:01:58.596Z
101,2020-03-21T20:01:58.652Z
108,2020-03-21T21:01:58.684Z
111,2020-03-21T22:01:58.681Z
96,2020-03-21T23:01:58.724Z
83,2020-03-22T00:00:02.256Z
79,2020-03-22T01:01:58.841Z
90,2020-03-22T02:01:58.814Z
82,2020-03-22T03:01:58.847Z
74,2020-03-22T04:01:58.868Z
77,2020-03-22T05:01:58.883Z
92,2020-03-22T06:01:58.934Z
100,2020-03-22T07:01:58.961Z
113,2020-03-22T08:01:58.998Z
106,2020-03-22T09:01:59.001Z
102,2020-03-22T10:01:59.002Z
93,2020-03-22T11:01:59.031Z
79,2020-03-22T12:01:59.069Z
72,2020-03-22T13:01:59.087Z
91,2020-03-22T14:01:59.652Z
90,2020-03-22T15:01:59.181Z
101,2020-03-22T16:01:59.245Z
100,2020-03-22T17:01:59.248Z
87,2020-03-22T18:01:59.290Z
87,2020-03-22T19:01:59.275Z
86,2020-03-22T20:01:59.334Z
83,2020-03-22T21:01:59.355Z
83,2020-03-22T22:01:59.408Z
86,2020-03-22T23:01:59.406Z
84,2020-03-23T00:01:59.484Z
80,2020-03-23T01:01:59.489Z
86,2020-03-23T02:01:59.498Z
100,2020-03-23T03:01:59.562Z
114,2020-03-23T04:01:28.669Z
143,2020-03-23T05:01:28.762Z
129,2020-03-23T06:01:28.781Z
108,2020-03-23T07:01:28.783Z
116,2020-03-23T08:01:28.767Z
87,2020-03-23T09:01:29.333Z
67,2020-03-23T10:01:28.871Z
72,2020-03-23T11:01:28.903Z
77,2020-03-23T12:01:28.899Z
75,2020-03-23T13:01:28.937Z
78,2020-03-23T14:01:28.953Z
49,2020-03-23T15:01:29.048Z
56,2020-03-23T16:01:29.026Z
57,2020-03-23T17:01:29.135Z
85,2020-03-23T18:01:29.089Z
110,2020-03-23T19:01:29.164Z
95,2020-03-23T20:01:29.166Z
101,2020-03-23T21:01:29.717Z
87,2020-03-23T22:01:29.252Z
87,2020-03-23T23:01:29.257Z
66,2020-03-24T00:01:29.798Z
65,2020-03-24T01:01:29.303Z
67,2020-03-24T02:01:29.356Z
74,2020-03-24T03:01:29.363Z
73,2020-03-24T04:01:29.434Z
69,2020-03-24T05:00:59.640Z
80,2020-03-24T06:00:59.653Z
88,2020-03-24T07:00:59.741Z
90,2020-03-24T08:00:59.755Z
78,2020-03-24T09:00:59.775Z
73,2020-03-24T10:00:59.769Z
69,2020-03-24T11:00:59.801Z
66,2020-03-24T12:00:59.869Z
63,2020-03-24T13:01:00.007Z
68,2020-03-24T14:00:59.992Z
75,2020-03-24T15:01:00.392Z
79,2020-03-24T16:01:00.290Z
70,2020-03-24T17:01:00.029Z
75,2020-03-24T18:01:00.061Z
77,2020-03-24T19:01:00.084Z
84,2020-03-24T20:01:07.650Z
81,2020-03-24T21:01:07.710Z
79,2020-03-24T22:01:07.724Z
77,2020-03-24T23:01:07.022Z
78,2020-03-25T00:01:07.004Z
75,2020-03-25T01:01:07.047Z
68,2020-03-25T02:01:07.120Z
67,2020-03-25T03:01:07.127Z
68,2020-03-25T04:01:07.184Z
60,2020-03-25T05:01:07.160Z
57,2020-03-25T06:01:19.389Z
84,2020-03-25T07:01:19.432Z
92,2020-03-25T08:01:28.405Z
66,2020-03-25T09:05:28.441Z
59,2020-03-25T10:01:28.446Z
59,2020-03-25T11:01:40.620Z
63,2020-03-25T12:01:40.617Z
65,2020-03-25T13:01:40.663Z
72,2020-03-25T14:01:40.699Z
93,2020-03-25T15:09:23.723Z
72,2020-03-25T16:01:23.810Z
